Hanan Runasimi,English,Ima simi,Español,Qusqu,Qosqo,Aymara
alamu,poplar; plant used to dye yellow,s.(bot)(esp),álamo; planta usada para teñir de amarillo,alamu,alamu,
alapay,to tie; to bundle,v.tr.,liar; rematar; forma particular de pelearse entre mujeres; entretejer,,,
alariy,to appear,v.mov.,aparecer,alariy,alariy,
alasan,yellowish,adj.,amarillento,,,
alaski,intestine; intestines,s.(ana),intestino; tripa,,,
alasta quy,to allow; to consent; (lit.) to give wings,expr.v.(p.esp),dar alas; consentir; engreír,,,
alaw!,what terribly pain!,interj.,"¡qué dolor terrible!; ¡que pena!; [expresión que denota compasión de alguien que da lástima]; pobrecito, qué pena; ¡qué pena!",alaw!; alaw,alaw!; alaw,
alawniy,to hurt terribly,v.pron.,doler terrible,,,
alaw ñiy,to complain,v.dic.,quejarse; gemir,,,
alay,heat,s.(1),calor,,,
alay,cold,s.(2),frío,,,
alay,to be hot,v.impers.(1),hacer calor,,,
alay,to be cold,v.impers.(2),hacer frío,,,
alaymuska,"hard, green or blue stone used as grind stone",s.,"piedra dura y lisa de color verde o azul, usada en molino y batán",,,
alayri,agile; able to walk alone; sufficiently retired,adj.(esp),ágil; que puede caminar solo; bastante aliviado (recuperado) de alguna enfermedad,,,
alayri,like air; quick; fast,expr.adv.(esp),igual al aire; rápido; pronto,,,
alchay,to harvest corn or beans cutting the stalk,v.tr.(agr),"arreglar un cultivo; cosechar maíz, habas, cortando el tallo",,,
algudun,cotton,s.(esp),algodón,,,
alhibra,algebra,s.(mat)(esp<ara),algebra,,,
alhibrap,algebraic,adj.poses.(mat)(esp<ara),algebráico,,,
alhiwra,algebra,s.(mat)(esp),álgebra,,,aljiwra; jakhuchthapi
ali,plant; branch,s.(bot),planta,ali,ali,ayru
aligri,happy,adj.(esp),alegre,,,
aligriyay,to be happy,v.intr.(esp),estar alegre,,,
aliman,German,s.(esp),alemán,,,
alimintu,food,s.(esp),alimento,,,
alimiski,the bird's tail,s.,rabadilla de las aves,,,
alistakuy,to prepare oneself,v.(esp),alistarse,,,
alistay,to prepare,v.tr.(esp),alistar; preparar,,,
alkaldi,mayor,s.(esp),alcalde,,,
alkatakuy,to raise the skirt,v.intr.,levantar la pollera,,,
alkay,to wait; to wait for; to expect; to expect,v.tr.,esperar; aguardar; aguardar,..suyay,..suyay,suyt'aña
alki,furrow,s.,surco,,,
alkilay,to rent,v.tr.(esp),alquilar; prestar,alkilay,alkilay,
alkul,alcohol,s.(esp),alcohol,alkul,alkul,
alkula,alcohol,s.(l.esp),alcohol,,,alkula
alkuy,to heap maize,v.tr.,amontonar maíz; hacinar,,,
alma,spirit; soul,s.(esp),alma; alma (espíritu); espíritu (fantasma),,,
alma pampana,family grave,s.,panteón,,,
almasay,to make a hotbed,v.(esp),hacer almácigo,,,
almilla,dress worn by Indian women,s.,vestido llevado por la mujer indígena,,,
almusa,lunch,s.(esp),almuerzo,almusa,almusa,
almusay,to have lunch,v.tr.(esp),almorzar,almusay,almusay,
almut,"arroba (measurement of weight, about 25 pounds or 11.5 kg)",s.(uni)(neo),"arroba; arroba (25 lb. o 11,5 kilos)",,,
alpargatis,traditional sandals,s.(esp),alpargatas,,,
alpurha,victuals; provisions; bundle,s.(esp),alforja,,,
alqa,white and black; black and white; two-coloured; alternate,adj.(col),blanco y negro; blanquinegro; combinado; alternado; interpolado; bicolor; moteado,alqa,alqa,allqa; wankalli; pinta; tiwti
alqa,error; failure; breaking off; stop; rupture; gap; breach; uncompleted work,s.,falla; mella; cosa que no deja concluir; obra incompleta,alqa,alqa,
alqa,white of the eye,s.(ana),blanco del ojo,alqa,alqa,
alqa,cold place,s.(geo),lugar frío; páramo; puna,alqa,alqa,
alqa-alqa,mottled; striped; speckled,adj.,jaspeado,alqa alqa,alqa alqa,
alqamari,kind of falcon,s.(zoo),chima linda; carancho; especie de pájaro blanquinegro; falcónido de plumaje blanco y negro que vive en las montañas; chimalinda,alqamari,alqamari,
Alqamayu,river that springs from Machu Pikchu,s.(top),río que nace en Machu Pikchu,Alqamayu,Alqamayu,
alqay,to stop,v.tr.,descontinuar,,,
alsa,food that receives anyone who collaborates within a celebration,s.,"comida que recibe el tejedor, bailarín, músico o cualquiera que colabora con la fiesta",,,
alsakay,to escape,v.mov.,escapar,,,
alsakuy,revolution,s.(esp),revolución,,,
alsakuy,to rise,v.intr.(esp),alzarse,,,
alsakuy,to get food in return for helping in a celebration,v.tr.(esp),"ser complementado; recibir la comida en la fiesta por haber ayudado o ""complementado"" (colaborado) en su realización",,,
alsay,to raise,v.tr.(esp),alzar,,,
altay,to remove,v.tr.,remover; sacar fuera; sacar del fondo de algo que tiene agua,,,
altu,high,adj.(esp),alto,altu,alto,
altu,height; high region; zenith,s.(esp),altura; puna; cenit,altu,alto,
Altu Mayu,beatiful and rich valley in the North of the department of San Martín (Perú) including the provinces of Rioja and Moyobamba; (Span.) Alto Mayo,s.(top)(p.esp),"hermoso y rico valle, ubicado al norte de la región San Martín y que comprende las provincias de Rioja y Moyobamba; (esp.) Alto Mayo",,,
altumisayuq,high shamane; high priest; an andean priest of the third level; a diviner of the highest order,s.(spi),curandero alto; sacerdote andino del tercer nivel; sacerdote andino,altumisayuq; altu misayuq; altumisayuq,altomesayoq; alto misayoq; altumisayoq,
altupiña ch'aska,star in the zenith; star which is already high,s.(ast),estrella en el cenit; estrella que ya está alta,altupiña ch'aska,altopiña ch'aska,
altus,second floor of a house,s.(esp),los altos o el segundo piso de la casa; segundo piso; terrado,,,
alud,landslide; alluvion; avalanche; flood,s.(esp),aluvión; alud,,,
aluhakuy,to lodge (with someone),v.intr.(esp),alojarse,,,
alukay,to lodge; to give boarding,v.tr.(esp),alojar,,,
aluminiyu,aluminium,s.(min)(esp),aluminio,,,aluminu
alumnu,pupil; student,s.(esp),alumno,,,
alunsillu,medical plant used against internal irritations,s.(bot)(esp),planta medicinal para la irritación interna,,,
alunsu,alonso (plant whose root heals inflammation and bleeding stomach ulcer),s.(bot)(esp),alonso (planta cuya raíz cura la inflamación y úlcera estomacal sangrienta),,,
alwa,alfalfa,s.(bot)(l.esp),"alfalfa; alfalfa - en la medicina popular sirve como antihemorrágico y para la curación de la piel, de los resfríos y de la gripe",,,
alwiris,person who is responsable for a celebration,s.(esp),alférez; persona que tiene el cargo de celebrar la fiesta,,,
alwun,album,s.,álbum,,,imawi
alwuritmu,algorithm,s.(mat)(esp),algoritmo,,,jakhu luraña
allá,there,adv.l.(esp),allí; allá,,,
allachikuy,to make oneself dig,v.tr.,hacerse cavar,,,
allachiy,to make dig,v.tr.,hacer cavar; cosechar; escarbar,,,
allachu,hoe; mattock,s.,azada; azadón,allachu,allachu,
allakuq,hoe,s.,"azada (para sacar papa, etc.)",,,
allakuy,to cut oneself with a hog; to sting oneself,v.intr.,pincharse; cavarse,,,junusiña
allallanka,lizard,s.(zoo),lagartija,allallanka,allallanka,
allampasu,kind of medicinal plant of the Ecuadorian jungle,s.(bot),allampasu; especie de planta medicinal de la selva ecuatoriana,,,
allamuy,to go to dig,v.tr.,ir a cavar,,,
allana,hoe; mattock,s.(agr),azada; pico,,,
Allana,Hoe (constellation),s.(ast),constelación de la Azada andina,,,
allankachiy,to lay on the back,v.tr.,poner de espalda a alguien o algo,,,
allankaray,to laze; to lie on the back; to relax; to lie,v.intr.,estar tendido de espalda; ociosear,,,
allankay,to lie down on the back,v.mov.,echarse (tumbarse) de espalda,,,
allapa,many,adj.,muchos,,,
allapa,much; too much,adv.m.,mucho; demasiado,..ñisu; nishu,..ñisu; nishu,
allapa,very,adv.preadj.,muy,,,
allapay,to exaggerate any action; to worsen; to make worse,v.tr.,exagerar cualquier acción; empeorar,,,
allapuy,to dig for someone,v.tr.,cavárselo,,,
allaq,tomorrow,adv.t.,mañana,,,
allaq,"early morning, pre-breakfast work period, used especially during the broad bean harvest in May",s.(met),madrugada,,,
allaq,digger,s.a.,el que cava; cavador; escarbador,allaq,allaq,
allarpachiy!,make him dig!,expr.,¡hazlo cavar!,,,
allarpariy,to dig at once,v.tr.,cavar de una vez,,,
allasqa,dug up,p.p.p.,cavado,,,
allatin,common,adj.,común,,,
allaw!,poor boy!,interj.,¡pobrecito!; [compasión],,,
allawchi!,poor boy!,interj.,¡pobrecito!; [compasión],,,
allawqa,right; right (side),adv.l.,derecho; derecha; derecha (mano),,,
allawqa,right side,s.,lado derecho,,,
allawsu,mashua; certain tuber plant,s.(bot),mashua; cierta planta tubércula,allawsu,allawsu,
allay,harvest of tuber plants; potato harvest; act or task of digging up tubers,s.(agr),cosecha de tubérculos; cosecha de papas,allay,allay,
allay,to dig up; to dig; to dig out potatoes; to dig up tubers; to excavate,v.tr.(agr),cavar; excavar; escabar; escarbar; pinchar; remover la tierra para cosechar tubérculos; cavar para sacar papas; cosechar tubérculos; cosechar raíces; desenterrar,allay,allay,llamayuña
allay killa,April,s.(mes),abril; mes de cosecha de tubérculos (abril),,,
allaysiy,to help to dig,v.tr.,ayudar a cavar,,,
allchay,to arrange; to put into order,v.tr.,ordenar; poner en orden,,,
allchhi,grandson; grandchild,s.(aym),nieto; nieto respecto de la abuela; nieta respecto de la abuela,,,allchhi; alchi
allichakuchiy,to heal,v.intr.,sanar,,,
allichakuy,to prepare oneself; to do oneself up; to arrange; to arrange well; to arrange; to accommodate (to),v.intr.(1),arreglarse; acicalarse; adornarse; ataviarse; acomodarse,allichakuy,allichakuy,
allichakuy,to recover; to get well,v.intr.(2),sanarse,,,
allichay,to prepare; to arrange; to arrange well,v.tr.,reparar; arreglar; poner en orden; acomodar; adornar; preparar; componer; decorar; asear la casa; acondicionar; remediar; ordenar; orillar; corregir; conciliar; agradecer; dar gracias; aderezar; aliñar,allichay,allichay,k'acharaña
allichiy,to correct; to repair,v.tr.,corregir; enmendar; mejorar; arreglar,allichiy,allichiy,
allichu,please,expr.(1),por favor,allichu,allichu,
allichu?,Is it OK?,expr.(2),¿está bien?,allichu?,allichu?,
allikachina wasi (ukhu),warehouse,s.,bodega,,,
allikachiy,to prefer; to like; to like (not want),v.tr.,preferir; gustar; alabar; elogiar,,,
alli kawsayta chariy,to assume a good lifestyle,v.tr.,asumir un buen modo de vivir,,,
allikay,noble,adj.,noble,,,suma
allikay,dignity; moral; virtue; goodness,s.,dignidad; moral; virtud; bondad,,,yaya; yäqawi; chuyma; chuymani
allikayaku,discipline,s.,disciplina,,,
alliku,peace; security,s.,paz; seguridad,,,
allikuta ñiy,to be right,v.intr.,tener razón,,,
alli law,right-spun; well-spun,adj.(tex),torcido derecho; bien torcido; derecho,,,
allillachu kanchik?,are we fine?,expr.,¿estamos bien? (¿no más?),,,
allillachu kanki?,are you fine?,expr.,¿estás bien? (¿no más?),,,
allillakay,health,s.,salud,,,k'umara; jakawi
allillamanta,slow; careful; slowly,adj.,lento; despacio; con cuidado; con despacio; sin apuro; paulatinamente,allillamanta,allillamanta,
Allillanchu?,"how are you? (sir, lady)",expr.,¿cómo está usted?; ¿cómo estás?; ¿bien?; ¿estás bien?,Allillanchu?; allillanchu?,Allillanchu?; allillanchu?,
Allillanmi!; Allillantaqmi!,I am fine!; ok; fine; good,expr.,¡Estoy bien!,Allillanmi!; Allillantaqmi!,Allillanmi!; Allillantaqmi!,
allilli,benefit,s.,beneficio,,,yäni
allilliq,useful,adj.,útil,,,
allin,good; fine; ok; nice; healthy; right,adj.(1),bueno; bien; sano; bueno; bien; excelente; despacio; bien; generoso; amable; sano; saludable,allin,allin,aski
allin,sensible; useful,adj.(2),sensato,,,
allin,healthy,adj.(med),bien (de salud); sano,,,
allin,well,adv.m.,bien; muy bien,allin,allin,aski
allin,the better,pron.impers.,lo mejor,,,
allin-allin,carefully,adv.m.,cuidadosamente; con cuidado; despacio,,,
allin allinlla,well; good,adv.m.,bien,,,
allin allpa,fertile land,s.(agr),tierra fértil,,,
allinchasqa,arranged,p.p.p.,arreglado,,,askichata
allinchay,to arrange; to fix; to decorate; to correct; to repair; to make better; make good; to improve; to cure; to fold clothes,v.tr.,ordenar; arreglar; componer; adornar; mejorar; reparar; corrigir; componer; arreglar; arreglar; componer; ordenar; corregir; enmendar; quitar defectos; perfeccionar,allinchay,allinchay,askiptayaña; sumaptayaña
allin chayamusqa uyansa,Welcome!,expr.,¡Bienvenida!,,,
allinchiq churay,to put into order,v.tr.,ordenar,,,
allinchiy,to correct,v.tr.,corregir; enmendar; mejorar,allinchiy,allinchiy,
Allin ch'isi!,Good evening!,expr.,¡Buenas tardes!; ¡Buenas noches!,Allin ch'isi!,Allin ch'isi!,
allin ch'itikay,vivacity,s.,vivacidad,allin ch'itikay,allin ch'itikay,
allin hampiy ruraykuna,public health administration,s.(neo),gestión de la salud pública,,,
Allin hamusqa kapay!,Welcome!,expr.,¡Bienvenido!; ¡Bienvenida!,,,
Allin hamusqa kapaychik!,Welcome! (plural),expr.,¡Bienvenidos!; ¡Bienvenidas!,,,
allin ima,good person; good thing,adj.,buena persona; cosa buena,,,
allin kana,kindness,s.,bondad,,,
allin kasqan,quality,s.pr.,calidad,,,askitapa uñjaña
allin kasqanta qhawaq,quality control,s.(neo),control de calidad,,,askitapa uñjaña
allin kawsay,well-being; health,s.,bienestar; salud; buena vida; moral,allin kawsay,allin kawsay,
allin kawsay hayñi,right of health,s.,derecho a la salud,,,
allin kawsay kawpay,health policy,s.,políticas de salud,,,
allin kawsay tarikuq wasi,institute for social security,s.,instituto de seguridad social,,,
allin kay,health; welfare; well-being,s.,salud; bienestar; beneficio; harmonía,,,
allinlla,just well; well; softly,adv.m.,bien nomás; bien; con suavidad; con cuidado; despacito; bastante bien; regularmente; bien (no más),,,
Allinlla Musuq Wata!,Happy New Year!,expr.,¡Feliz Año Nuevo!,Allinlla Musuq Wata!,Allinlla Musuq Wata!,
allinllanta,slowly; gently,adv.m.,despacio,,,k'achata
allinlla ñan,Good journey!; See you later!; Farewell!,expr.,¡Buen viaje!; ¡Hasta luego!,allinlla ñan; allinllaña,allinlla ñan; allinllaña,
Allinlla Raymi!,Merry Christmas!,expr.,¡Feliz Navidad!,Allinlla Raymi!,Allinlla Raymi!,
allinllata ñiy,to be right,v.intr.,tener razón,,,
allin maki,right hand,s.,mano derecha,,,
allin mama,godmother,s.,madrina,,,
allinmanta,gently; at a leisurely pace; slow; carefully,adv.m.,despaciosamente; lento; despacio; cuidadosamente,allimanta,allimanta,
allin maswa,cultivated mashua,s.(bot),mashuas cultivadas,,,
allinmi,sufficient; (it is) good,adj.,suficiente; está bien,,,
allin mikhuy,nutrition,s.,nutrición,,,
allinnin,profit; benefit; usefulness,s.pr.,utilidad,,,wakiskiri; yäni apnaqawi
allinniy,interest,s.,interés,,,munawi; wawacha
allinniyuq,wealthy; fortunate,s.p.,adinerado; acaudalado; auspicioso; venturoso; sin contratiempos,allinniyuq,allinniyoq,
allin ñawi,handsome,adj.,guapo; hermoso,,,
allinpaq hap'iy,to approve of; to commend,v.tr.,aprobar; alabar,allinpaq hap'iy,allinpaq hap'iy,
allinpiraq,in the early afternoon,adv.t.,en pleno día,allinpiraq,allinpiraq,
allin puriy,to behave; to behave well; to conduct oneself,v.intr.,conducirse; portarse,allin puriy,allin puriy,
Allin p'unchaw!,Good morning!,expr.,Buenos días!; ¡Buenos dias!,Allin p'unchay!,Allin p'unchay!,
allin qillqa,"calligraphy, penmanship",s.,caligrafía,,,aski qillqa
allin qillqay,orthography; spelling,s.,ortografía,,,chiqa qillqa
allinraq,still well,expr.,todavía bien,,,
allin rikch'ay,to conduct oneself,v.intr.,conducirse; portarse,allin rikch'ay,allin rikch'ay,
allin rikch'ay,to look good,v.tr.,paracer bien,,,
allin rikuy,considerateness; good attention,expr.,buena atención; buen cuidado,,,
allin rikuy,to behave well; to be considerate,v.intr.,conducirse; portarse,allin rikuy,allin rikuy,
allin ruray,benefit,s.,beneficio,allin ruway,allin ruway,
allin simita chariq,who speaks politely and without murmuring,s.a.,bienhablado; que habla cortésmente y sin murmurar,,,
Allin sukha!,Good afternoon!,expr.,¡Buenas tardes!,Allin sukha!,Allin sukha!,
allin sunqu,good-hearted; kind; kind-hearted; kindly; charitable; pious,adj.,"bondadoso; piadoso; persona de buen corazón, bondadosa; benévelo; benevolente",allin sunqu,allin sonqo,
allin sunqu,conscience,s.,conciencia,,,
allin sunquyuq,kind,s.p.,bondadoso,,,
allin supay,good angel,s.,ángel bueno,allin supay,allin supay,
allinta,correctly; well,adv.m.,correctamente; bien,,,
allintaqmi!,very well!; all right!; okay!,expr.,¡muy bien!; ¡de acuerdo!,,,
allinta ruray,to benefit,v.intr.,beneficiar,,,
allin tayta,godfather,s.,padrino,,,
allin tiyay,well-being,s.,bienestar,,,
allin tukuy,to recover; to convalesce; to cure; to become healthy; to reconcile; to become better,v.intr.,mejorar(se); poner(se)bien; sanarse; curarse; reformarse; recuperarse; recobrar fuerza; mejorarse,,,
allin tupay,to make oneself better to get the thank,v.intr.,hacerse el bueno para ganarse la gracia,,,
Allin tuta!,Good evening!; Good night!,expr.,¡Buenas noches!,allin tuta,allin tuta,
allin ukhupi kaq,interior,adj.,interior,,,
allin wasa,lucky,adj.,buena espalda; de buena suerte,,,
allin wasa tukuy,to be lucky,v.intr.,estar de buena suerte,,,
allin wawa mama,womb; uterus,s.(ana),útero,,,
allin yachay,to be sure,v.intr.,estar seguro,,,
allinyachiy,to heal; to make good,v.tr.,sanar (a alguien); componer cosa dañada; hacer reconciliar; restaurar; sanar; mejorar,,,askiptayaña; sumaptayaña
allinyanakapuy,to make peace; to reconcile,v.recip.,hacer paz; reconciliarse,,,
allinyay,relief,s.,liberación; redención; convalescencia,allinyay,allinyay,
allinyay,to recover; to convalesce; to cure; to become healthy; to reconcile; to improve,v.intr.,convalecer; curar; reconciliarse; aliviar; reconciliarse; mejorar; mejorar de salud; sanar; mejorarse; hacerse bueno; recobrar el enfermo la salud,allinyay,allinyay,waliptayaña
